FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
160101;0;41,527;;
160102;0;33,5916;;
160103;0;34,8695;;
160104;0;32,1737;;
160105;0;31,2652;;
160106;0;;;10,0503
160107;0;;;9,31699
160108;0;;;9,32481
160109;0;;;18,6935
160110;0;24,5879;;
160111;0;37,3829;;
160112;0;34,8629;;
160113;0;22,8838;;
160114;0;30,5009;;
160115;0;22,8062;;
160116;0;19,1966;;
160117;0;17,2452;;
160118;0;21,5933;;
160119;0;32,1108;;
160120;0;38,7716;;
160121;0;38,9924;;
160122;0;29,0087;;
160123;0;24,9846;;
160124;0;27,7204;;
160125;0;26,2154;;
160126;0;31,2116;;
160127;0;28,8158;;
160128;0;22,7814;;
160129;0;32,2853;;
160130;0;40,7391;;
160131;0;36,2195;;
160201;0;55,1558;;
160202;0;47,959;;
160203;0;25,2321;;
160204;0;39,5591;;
160205;0;40,5537;;
160206;0;47,2908;;
160207;0;31,7416;;
160208;0;21,6137;;
160209;0;20,9583;;
160210;0;24,3025;;
160211;0;24,4729;;
160212;0;23,7356;;
160213;0;21,3975;;
160214;0;21,5416;;
160215;0;22,8029;;
160216;0;23,0591;;
160217;0;26,1941;;
160218;0;22,5108;;
160219;0;29,6954;;
160220;0;21,4658;;
160221;0;21,6796;;
160222;0;25,0426;;
160223;0;30,0245;;
160224;0;27,4474;;
160225;0;24,9468;;
160226;0;24,4008;;
160227;0;25,5033;;
160228;0;29,8824;;
160229;0;39,1633;;
160301;0;39,4691;;
160302;0;39,712;;
160303;0;25,1258;;
160304;0;23,9621;;
160305;0;34,9587;;
160306;0;21,7854;;
160307;0;39,3712;;
160308;0;27,8829;;
160309;0;49,3995;;
160310;0;45,6099;;
160311;0;30,0634;;
160312;0;61,3054;;
160313;0;44,4904;;
160314;0;40,4458;;
160315;0;34,1767;;
160316;0;49,5566;;
160317;0;32,2256;;
160318;0;28,687;;
160319;0;27,717;;
160320;0;24,7078;;
160321;0;34,4345;;
160322;0;22,9453;;
160323;0;29,1071;;
160324;0;39,9091;;
160325;0;78,1307;;
160326;0;78,022;;
160327;0;41,9058;;
160328;0;33,3904;;
160329;0;75,6526;;
160330;0;32,9512;;
160331;0;35,1862;;
160401;0;53,4229;;
160402;0;30,7174;;
160403;0;32,095;;
160404;0;43,987;;
160405;0;114,391;;
160406;0;47,4949;;
160407;0;46,2473;;
160408;0;73,8086;;
160409;0;161,71;;
160410;0;141,384;;
160411;0;170,56;;
160412;0;167,171;;
160413;0;74,397;;
160414;0;63,8612;;
160415;0;38,2908;;
160416;0;36,8135;;
160417;0;76,4374;;
160418;0;62,2312;;
160419;0;42,1458;;
160420;0;36,96;;
160421;0;53,1845;;
160422;0;114,64;;
160423;0;96,5494;;
160424;0;130,342;;
160425;0;237,589;;
160426;0;338,366;;
160427;0;336,884;;
160428;0;101,471;;
160429;0;311,717;;
160430;0;195,306;;
160501;0;290,359;;
160502;0;345,4;;
160503;0;299,861;;
160504;0;292,475;;
160505;0;278,68;;
160506;0;284,881;;
160507;0;203,263;;
160508;0;60,4977;;
160509;0;53,7017;;
160510;0;52,265;;
160511;0;83,677;;
160512;0;172,044;;
160513;0;156,971;;
160514;0;86,459;;
160515;0;80,959;;
160516;0;91,9165;;
160517;0;151,078;;
160518;0;63,1711;;
160519;0;285,964;;
160520;0;481,475;;
160521;0;455,058;;
160522;0;438,3;;
160523;0;411,683;;
160524;0;384,931;;
160525;0;35,6929;;
160526;0;;;
160527;0;154,963;;
160528;0;390,258;;
160529;0;315,487;;
160530;0;244,352;;
160531;0;120,497;;
160601;0;197,196;;
160602;0;311,129;;
160603;0;296,602;;
160604;0;;;
160605;0;;;
160606;0;;;
160607;0;;;
160608;0;77,2583;;
160609;0;167,944;;
160610;0;132,018;;
160611;0;98,0887;;
160612;0;176,728;;
160613;0;68,8462;;
160614;0;66,7286;;
160615;0;79,4879;;
160616;0;57,7961;;
160617;0;119,161;;
160618;0;196,363;;
160619;0;381,158;;
160620;0;362,321;;
160621;0;111,337;;
160622;0;228,626;;
160623;0;122,604;;
160624;0;61,3595;;
160625;0;48,0362;;
160626;0;104,947;;
160627;0;275,25;;
160628;0;201,912;;
160629;0;41,5009;;
160630;0;125,117;;
160701;0;136,539;;
160702;0;355,408;;
160703;0;144,572;;
160704;0;39,5971;;
160705;0;52,6495;;
160706;0;45,6602;;
160707;0;56,9083;;
160708;0;57,8766;;
160709;0;68,08;;
160710;0;123,877;;
160711;0;125,158;;
160712;0;101,2;;
160713;0;92,575;;
160714;0;50,2725;;
160715;0;92,202;;
160716;0;95,3859;;
160717;0;144,734;;
160718;0;150,724;;
160719;0;285,146;;
160720;0;124,122;;
160721;0;104,607;;
160722;0;88,9895;;
160723;0;123,662;;
160724;0;198,153;;
160725;0;145,021;;
160726;0;252,749;;
160727;0;110,723;;
160728;0;163,065;;
160729;0;172,303;;
160730;0;226,742;;
160731;0;218,235;;
160801;0;266,521;;
160802;0;258,892;;
160803;0;170,692;;
160804;0;84,3472;;
160805;0;59,0254;;
160806;0;84,2312;;
160807;0;59,3796;;
160808;0;40,1525;;
160809;0;49,6804;;
160810;0;95,0721;;
160811;0;56,3876;;
160812;0;116,723;;
160813;0;65,4254;;
160814;0;108,07;;
160815;0;132,614;;
160816;0;176,63;;
160817;0;101,308;;
160818;0;79,1409;;
160819;0;163,549;;
160820;0;66,9113;;
160821;0;29,8737;;
160822;0;60,7558;;
160823;0;59,6216;;
160824;0;141,517;;
160825;0;144,463;;
160826;0;70,2333;;
160827;0;99,1245;;
160828;0;88,0704;;
160829;0;82,5691;;
160830;0;55,7617;;
160831;0;45,2808;;
160901;0;66,8895;;
160902;0;187,816;;
160903;0;229,55;;
160904;0;203,922;;
160905;0;110,13;;
160906;0;84,2979;;
160907;0;85,6123;;
160908;0;61,3596;;
160909;0;76,8108;;
160910;0;100,968;;
160911;0;118,339;;
160912;0;43,6579;;
160913;0;46,5421;;
160914;0;49,145;;
160915;0;37,5737;;
160916;0;72,9583;;
160917;0;114,93;;
160918;0;90,1379;;
160919;0;78,3983;;
160920;0;36,8737;;
160921;0;44,4775;;
160922;0;56,6629;;
160923;0;92,46;;
160924;0;181,547;;
160925;0;78,3912;;
160926;0;52,6827;;
160927;0;92,9371;;
160928;0;92,365;;
160929;0;72,2408;;
160930;0;50,7692;;
161001;0;39,2329;;
161002;0;92,3037;;
161003;0;86,5142;;
161004;0;56,3737;;
161005;0;40,533;;
161006;0;31,1333;;
161007;0;54,3871;;
161008;0;44,6096;;
161009;0;22,3354;;
161010;0;24,2183;;
161011;0;31,6431;;
161012;0;34,8026;;
161013;0;23,5691;;
161014;0;41,7473;;
161015;0;58,6179;;
161016;0;56,9858;;
161017;0;37,7125;;
161018;0;70,1996;;
161019;0;61,5846;;
161020;0;28,48;;
161021;0;40,9221;;
161022;0;56,2534;;
161023;0;52,1704;;
161024;0;28,8908;;
161025;0;25,2913;;
161026;0;25,3825;;
161027;0;28,9379;;
161028;0;25,9732;;
161029;0;17,2783;;
161030;0;20,502;;
161031;0;23,3944;;
161101;0;17,0325;;
161102;0;19,7264;;
161103;0;24,499;;
161104;0;45,6873;;
161105;0;27,5967;;
161106;0;27,9099;;
161107;0;35,1008;;
161108;0;37,1571;;
161109;0;21,8782;;
161110;0;22,7753;;
161111;0;22,2352;;
161112;0;19,071;;
161113;0;21,2307;;
161114;0;28,6337;;
161115;0;39,382;;
161116;0;34,7654;;
161117;0;26,9475;;
161118;0;24,4088;;
161119;0;17,6183;;
161120;0;51,0296;;
161121;0;36,1721;;
161122;0;33,5942;;
161123;0;18,3191;;
161124;0;16,1794;;
161125;0;22,5492;;
161126;0;20,6461;;
161127;0;15,5312;;
161128;0;18,8065;;
161129;0;17,5392;;
161130;0;16,1608;;
161201;0;30,5297;;
161202;0;22,1271;;
161203;0;33,44;;
161204;0;34,9429;;
161205;0;18,1467;;
161206;0;16,8167;;
161207;0;16,8662;;
161208;0;15,341;;
161209;0;24,0131;;
161210;0;16,2749;;
161211;0;13,7545;;
161212;0;16,3813;;
161213;0;21,0088;;
161214;0;19,4876;;
161215;0;15,2095;;
161216;0;16,7778;;
161217;0;14,1071;;
161218;0;11,9622;;
161219;0;14,014;;
161220;0;20,5358;;
161221;0;16,1019;;
161222;0;13,6653;;
161223;0;16,1367;;
161224;0;29,4767;;
161225;0;22,8448;;
161226;0;16,1031;;
161227;0;14,1106;;
161228;0;13,8691;;
161229;0;14,93;;
161230;0;16,7461;;
161231;0;19,345;;
170101;0;24,3273;;
170102;0;23,2267;;
170103;0;16,681;;
170104;0;21,1171;;
170105;0;20,5483;;
170106;0;32,9638;;
170107;0;18,6381;;
170108;0;17,2158;;
170109;0;20,1864;;
170110;0;14,5209;;
170111;0;18,8524;;
170112;0;25,3339;;
170113;0;16,6393;;
170114;0;15,8946;;
170115;0;14,2431;;
170116;0;21,8672;;
170117;0;15,2973;;
170118;0;17,6142;;
170119;0;14,1762;;
170120;0;12,7413;;
170121;0;17,8208;;
170122;0;21,9733;;
170123;0;20,0989;;
170124;0;15,954;;
170125;0;13,1948;;
170126;0;11,4483;;
170127;0;15,0485;;
170128;0;18,802;;
170129;0;14,2845;;
170130;0;17,9944;;
170131;0;21,7185;;
170201;0;16,2332;;
170202;0;18,0012;;
170203;0;16,0228;;
170204;0;22,7075;;
170205;0;18,2979;;
170206;0;21,804;;
170207;0;16,9171;;
170208;0;17,4192;;
170209;0;18,5125;;
170210;0;14,9155;;
170211;0;17,1783;;
170212;0;21,9725;;
170213;0;19,133;;
170214;0;23,3892;;
170215;0;16,6704;;
170216;0;19,2218;;
170217;0;19,5101;;
170218;0;23,5753;;
170219;0;23,5687;;
170220;0;24,9691;;
170221;0;22,2062;;
170222;0;16,2255;;
170223;0;15,0775;;
170224;0;18,7067;;
170225;0;15,7188;;
170226;0;16,216;;
170227;0;14,9436;;
170228;0;16,6978;;
170301;0;20,8913;;
170302;0;18,1936;;
170303;0;22,1462;;
170304;0;20,7212;;
170305;0;24,7397;;
170306;0;43,9608;;
170307;0;54,8004;;
170308;0;30,6225;;
170309;0;21,6035;;
170310;0;23,915;;
170311;0;20,9029;;
170312;0;15,4902;;
170313;0;27,3246;;
170314;0;22,7272;;
170315;0;26,29;;
170316;0;39,3392;;
170317;0;33,8044;;
170318;0;33,9946;;
170319;0;18,5892;;
170320;0;27,2859;;
170321;0;22,5982;;
170322;0;52,0004;;
170323;0;32,3784;;
170324;0;35,8775;;
170325;0;74,3229;;
170326;0;70,6312;;
170327;0;47,1054;;
170328;0;90,0758;;
170329;0;62,6789;;
170330;0;;;
170331;0;43,045;;
170401;0;78,8518;;
170402;0;59,6971;;
170403;0;27,0969;;
170404;0;31,7335;;
170405;0;33,7267;;
170406;0;62,3716;;
170407;0;89,9561;;
170408;0;99,2308;;
170409;0;36,565;;
170410;0;37,2103;;
170411;0;69,0209;;
170412;0;203,555;;
170413;0;276,984;;
170414;0;163,97;;
170415;0;121,688;;
170416;0;227,208;;
170417;0;167,672;;
170418;0;56,6721;;
170419;0;31,3517;;
170420;0;35,0546;;
170421;0;34,7746;;
170422;0;41,6083;;
170423;0;38,2833;;
170424;0;64,5079;;
170425;0;50,2871;;
170426;0;47,4017;;
170427;0;43,5196;;
170428;0;25,9209;;
170429;0;37,2888;;
170430;0;21,3306;;
170501;0;58;;
170502;0;36;;
170503;0;81;;
170504;0;45;;
170505;0;145;;
170506;0;158;;
170507;0;88;;
170508;0;96;;
170509;0;182;;
170510;0;315;;
170511;0;210;;
170512;0;204;;
170513;0;146;;
170514;0;40;;
170515;0;82;;
170516;0;120;;
170517;0;92;;
170518;0;125;;
170519;0;60;;
170520;0;41;;
170521;0;37;;
170522;0;47;;
170523;0;55;;
170524;0;82;;
170525;0;55;;
170526;0;70;;
170527;0;41;;
170528;0;87;;
170529;0;192;;
170530;0;221;;
170531;0;123;;
170601;0;68;;
170602;0;86;;
170603;0;68;;
170604;0;72;;
170605;0;49;;
170606;0;42;;
170607;0;86;;
170608;0;36;;
170609;0;29;;
170610;0;49;;
170611;0;31;;
170612;0;65;;
170613;0;83;;
170614;0;126;;
170615;0;157;;
